Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
106,Nic Claxton\claxtni01,C,22,BRK,25,530,18.9,.639,.000,.342,11.4,16.9,14.2,5.9,1.1,4.7,9.2,16.0,,1.3,0.5,1.8,.166,,0.4,-0.5,-0.1,0.2
107,Amir Coffey\coffeam01,SG,24,LAC,45,993,13.6,.619,.585,.265,2.4,11.9,7.3,10.2,1.1,0.9,7.0,14.6,,1.9,0.9,2.8,.134,,0.5,0.2,0.6,0.7
108,John Collins\collijo01,PF,24,ATL,50,1564,19.8,.621,.264,.264,6.3,21.2,13.8,9.3,1.0,3.1,7.7,20.4,,4.0,1.2,5.2,.160,,2.1,-0.2,1.9,1.5
109,Zach Collins\colliza01,PF,24,SAS,3,48,15.8,.482,.158,.211,15.1,24.2,19.6,22.7,3.0,0.0,19.4,22.7,,0.0,0.1,0.1,.070,,-1.9,0.2,-1.8,0.0
110,Darren Collison\collida01,PG,34,LAL,3,37,-0.2,.286,.429,.000,0.0,11.4,5.7,6.8,1.3,0.0,12.5,9.3,,-0.1,0.0,0.0,-0.063,,-10.1,-0.9,-11.0,-0.1
111,Mike Conley\conlemi01,PG,34,UTA,50,1419,18.2,.591,.528,.209,2.4,9.1,5.9,27.3,2.0,1.0,12.5,21.1,,3.7,1.5,5.1,.173,,3.2,0.4,3.6,2.0
112,Pat Connaughton\connapa01,SG,29,MIL,54,1457,13.6,.630,.740,.089,2.7,14.1,8.5,6.3,1.7,0.9,6.7,13.6,,2.5,1.5,4.0,.132,,0.8,0.3,1.2,1.2
113,Tyler Cook\cookty01,PF,24,CHI,19,196,13.1,.645,.000,.861,9.2,20.2,14.7,2.0,1.0,1.8,12.4,12.7,,0.4,0.2,0.5,.133,,-2.6,-1.1,-3.7,-0.1
114,Sharife Cooper\coopesh01,PG,20,ATL,11,35,-5.9,.250,.429,.000,0.0,15.4,7.8,18.6,0.0,0.0,26.3,23.7,,-0.2,0.0,-0.2,-0.333,,-11.8,-5.5,-17.3,-0.1
115,Petr Cornelie\cornepe01,PF,26,DEN,13,38,9.9,.418,.533,.267,21.0,20.0,20.5,11.0,1.3,2.4,19.3,24.2,,-0.1,0.0,0.0,-0.009,,-5.9,-2.8,-8.7,-0.1
116,DeMarcus Cousins\couside01,C,31,TOT,23,366,16.3,.514,.384,.340,10.8,29.2,20.2,10.1,2.7,2.7,14.1,25.2,,0.0,0.7,0.7,.098,,-2.8,0.0,-2.8,-0.1
116,DeMarcus Cousins\couside01,C,31,MIL,17,287,19.5,.572,.407,.322,9.0,26.6,18.0,9.5,2.7,2.7,10.6,22.5,,0.5,0.5,1.0,.176,,-0.2,0.8,0.6,0.2
116,DeMarcus Cousins\couside01,C,31,DEN,6,79,4.7,.354,.317,.390,17.3,38.6,28.2,12.3,2.5,2.3,22.6,34.7,,-0.5,0.2,-0.3,-0.184,,-12.5,-2.9,-15.5,-0.3
117,Robert Covington\covinro01,PF-SF,31,TOT,52,1505,10.5,.527,.679,.125,3.2,18.1,10.5,6.5,2.5,4.3,14.2,12.9,,-0.1,1.7,1.7,.053,,-2.5,1.5,-0.9,0.4
117,Robert Covington\covinro01,PF,31,POR,48,1431,10.2,.519,.685,.107,3.1,18.3,10.5,6.6,2.5,4.3,14.2,12.5,,-0.1,1.6,1.5,.049,,-2.6,1.6,-1.0,0.4
117,Robert Covington\covinro01,SF,31,LAC,4,74,16.0,.622,.600,.360,5.8,15.2,10.7,4.1,2.6,3.5,14.7,20.1,,0.1,0.1,0.2,.124,,-1.0,0.2,-0.8,0.0
118,Torrey Craig\craigto01,SF,31,TOT,52,1057,11.5,.562,.486,.121,6.1,14.7,10.4,8.3,1.2,1.6,11.6,14.1,,1.0,0.6,1.6,.073,,-1.2,-0.5,-1.7,0.1
118,Torrey Craig\craigto01,SF,31,IND,51,1034,11.1,.555,.491,.125,6.2,14.7,10.4,7.9,1.1,1.6,11.6,14.0,,0.9,0.6,1.5,.068,,-1.3,-0.6,-2.0,0.0
118,Torrey Craig\craigto01,SF,31,PHO,1,23,28.1,.778,.333,.000,0.0,13.5,6.9,27.3,4.2,0.0,10.0,18.7,,0.1,0.0,0.1,.307,,5.6,5.1,10.6,0.1
119,Jae Crowder\crowdja01,PF,31,PHO,46,1301,10.4,.536,.673,.147,1.6,18.0,10.0,6.8,2.0,1.4,9.2,14.0,,0.5,2.3,2.7,.100,,-1.6,2.0,0.5,0.8
120,Jarrett Culver\culveja01,SG,22,MEM,26,237,12.7,.489,.337,.228,3.9,13.1,8.4,14.5,2.8,1.2,9.8,19.5,,0.1,0.3,0.4,.080,,-2.8,0.7,-2.1,0.0
121,Jarron Cumberland\cumbeja01,SG,24,POR,3,12,8.6,.500,.500,.000,8.9,18.7,13.7,11.5,0.0,0.0,0.0,7.3,,0.0,0.0,0.0,.092,,-3.9,-2.3,-6.3,0.0
122,Cade Cunningham\cunnica01,PG,20,DET,42,1336,12.3,.494,.414,.137,3.0,16.2,9.2,27.7,2.0,2.0,18.2,26.1,,-1.8,1.1,-0.7,-0.024,,-1.5,-0.6,-2.0,0.0
123,Seth Curry\curryse01,SG,31,PHI,45,1566,13.8,.603,.473,.138,1.2,9.3,5.3,17.7,1.2,0.6,13.0,18.5,,2.0,1.2,3.2,.097,,0.0,-1.0,-0.9,0.5
124,Stephen Curry\curryst01,PG,33,GSW,52,1808,21.6,.590,.630,.247,1.9,14.4,8.4,31.0,2.0,1.1,13.0,31.3,,4.0,3.0,7.0,.185,,5.6,0.6,6.2,3.7
125,Anthony Davis\davisan02,C,28,LAL,36,1281,24.0,.578,.104,.359,8.6,20.9,14.8,13.9,1.6,5.9,9.5,26.9,,2.6,1.9,4.5,.169,,2.5,1.0,3.5,1.8
126,Ed Davis\davised01,C,32,CLE,19,142,8.7,.599,.000,.571,5.5,27.4,16.8,4.6,1.1,5.0,22.2,7.0,,0.0,0.3,0.4,.120,,-5.4,3.6,-1.8,0.0
127,Terence Davis\daviste02,SG,24,SAC,30,536,15.0,.543,.558,.165,2.2,16.8,9.4,11.8,2.2,1.7,10.3,25.5,,0.2,0.4,0.6,.054,,-0.3,-0.5,-0.8,0.2
128,Gabriel Deck\deckga01,PF,26,OKC,7,56,11.9,.643,.286,.000,1.8,9.2,5.4,14.2,0.9,0.0,12.5,12.4,,0.1,0.0,0.1,.094,,-1.2,-1.3,-2.6,0.0
129,Dewayne Dedmon\dedmode01,C,32,MIA,50,820,17.3,.649,.138,.321,12.6,29.3,21.0,6.9,1.3,3.5,17.4,16.7,,1.5,1.5,3.0,.176,,-1.0,0.8,-0.2,0.4
130,Sam Dekker\dekkesa01,PF,27,TOR,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.007,,-5.8,-3.6,-9.4,0.0
131,Javin DeLaurier\delauja01,C,23,MIL,1,3,15.8,,,,0.0,34.4,17.6,0.0,16.1,0.0,,0.0,,0.0,0.0,0.0,.270,,-4.7,11.7,7.0,0.0
132,DeMar DeRozan\derozde01,PF,32,CHI,53,1884,24.4,.597,.094,.409,2.7,13.6,8.2,24.4,1.2,0.8,9.0,31.6,,6.0,1.3,7.3,.185,,4.1,-1.0,3.1,2.4
133,Mamadi Diakite\diakima01,PF,25,OKC,13,188,11.9,.540,.106,.234,9.0,23.1,15.9,1.7,1.3,4.5,11.9,13.6,,0.1,0.3,0.4,.095,,-5.8,1.0,-4.8,-0.1
134,Cheick Diallo\diallch01,C,25,DET,3,31,12.5,.517,.000,.750,13.1,29.4,20.8,0.0,1.6,0.0,8.6,16.0,,0.0,0.0,0.1,.104,,-4.3,-3.6,-7.8,0.0
135,Hamidou Diallo\diallha01,SG,23,DET,49,1113,15.6,.542,.181,.258,5.6,18.4,11.6,9.5,2.6,1.3,9.0,21.3,,0.6,1.1,1.8,.076,,-1.3,0.4,-0.9,0.3
136,Gorgui Dieng\dienggo01,C,32,ATL,36,327,17.3,.617,.553,.255,10.4,25.8,18.1,12.4,1.5,3.6,15.4,16.5,,0.7,0.4,1.0,.148,,1.0,0.7,1.7,0.3
137,Spencer Dinwiddie\dinwisp01,PG,28,WAS,44,1330,13.6,.501,.459,.291,3.0,13.8,8.5,28.1,1.0,0.4,11.6,21.0,,1.1,0.7,1.8,.066,,-0.1,-0.9,-1.0,0.3
138,Donte DiVincenzo\divindo01,SG,25,TOT,18,360,8.5,.462,.638,.228,5.7,12.3,9.1,12.8,1.6,0.8,16.7,20.0,,-0.3,0.3,0.0,.001,,-3.6,-1.8,-5.4,-0.3
138,Donte DiVincenzo\divindo01,SG,25,MIL,17,341,8.2,.470,.627,.229,5.7,12.7,9.3,11.6,1.6,0.9,17.7,19.9,,-0.3,0.3,0.0,-0.001,,-3.7,-1.7,-5.4,-0.3
138,Donte DiVincenzo\divindo01,SG,25,SAC,1,19,13.5,.354,.778,.222,5.6,5.7,5.7,35.7,2.5,0.0,0.0,22.2,,0.0,0.0,0.0,.040,,-1.7,-2.9,-4.6,0.0
139,Luka Dončić\doncilu01,PG,22,DAL,42,1483,24.3,.555,.382,.329,2.6,25.6,14.0,48.0,1.7,1.2,15.3,36.7,,2.1,2.6,4.7,.151,,5.9,2.0,7.9,3.7
140,Luguentz Dort\dortlu01,SF,22,OKC,51,1665,12.7,.541,.539,.263,2.3,10.8,6.5,8.9,1.4,1.0,9.8,23.4,,0.6,1.5,2.0,.058,,-1.4,-0.7,-2.2,-0.1
141,Ayo Dosunmu\dosunay01,SG,22,CHI,52,1321,11.6,.616,.374,.179,1.4,10.5,6.0,15.8,1.3,1.2,15.5,13.3,,1.5,0.9,2.4,.087,,-1.5,-0.1,-1.6,0.1
142,Damyean Dotson\dotsoda01,SG,27,NYK,2,21,6.5,.500,.250,.000,0.0,10.4,5.1,7.0,0.0,0.0,0.0,8.4,,0.0,0.0,0.0,.041,,-3.6,-1.5,-5.1,0.0
143,Devon Dotson\dotsode01,PG,22,CHI,11,85,10.1,.538,.391,.391,1.3,10.3,5.9,23.8,0.6,0.0,15.6,16.5,,0.1,0.0,0.1,.057,,-3.1,-1.6,-4.7,-0.1
144,Sekou Doumbouya\doumbse01,PF,21,LAL,2,16,41.2,.717,.250,.500,13.4,26.3,19.9,0.0,9.0,11.3,17.0,31.6,,0.0,0.1,0.1,.316,,9.0,10.0,19.0,0.1
145,Jeff Dowtin\dowtije01,PG,24,TOT,5,31,7.5,.429,.286,.000,3.6,20.2,12.2,13.3,0.0,3.1,12.5,11.2,,0.0,0.0,0.0,.055,,-5.3,-0.2,-5.5,0.0
145,Jeff Dowtin\dowtije01,PG,24,GSW,4,28,9.7,.500,.167,.000,4.0,22.4,13.6,14.7,0.0,3.4,14.3,10.9,,0.0,0.0,0.1,.098,,-4.2,0.5,-3.7,0.0
145,Jeff Dowtin\dowtije01,PG,24,MIL,1,3,-13.0,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,-0.346,,-15.7,-6.8,-22.5,0.0
146,PJ Dozier\doziepj01,SG,25,DEN,18,340,9.0,.463,.485,.131,4.7,15.7,10.3,11.5,1.6,1.6,11.0,15.3,,-0.1,0.4,0.3,.042,,-2.8,0.9,-2.0,0.0
147,Goran Dragić\dragigo01,PG,35,TOR,5,90,16.5,.521,.412,.294,2.3,15.3,8.5,14.5,2.8,1.1,2.5,18.8,,0.2,0.1,0.3,.162,,-0.3,2.3,1.9,0.1
148,Andre Drummond\drumman01,C,28,PHI,49,902,19.8,.544,.008,.345,17.0,35.9,26.6,15.9,3.1,4.5,22.4,17.7,,0.8,2.2,3.0,.162,,-1.0,2.4,1.4,0.8
149,Chris Duarte\duartch01,SG,24,IND,50,1433,12.9,.540,.416,.184,2.7,13.2,7.9,11.6,1.8,0.6,11.8,21.2,,0.5,0.8,1.4,.046,,-0.8,-1.0,-1.8,0.1
150,David Duke Jr.\dukeda01,PG,22,BRK,17,289,11.3,.454,.333,.204,11.0,11.7,11.3,7.0,2.0,1.8,7.3,16.3,,0.1,0.3,0.4,.062,,-2.2,-1.1,-3.4,-0.1
151,Kevin Durant\duranke01,PF,33,BRK,36,1313,26.1,.626,.247,.350,1.7,19.8,10.9,27.6,1.0,2.3,11.3,31.2,,4.3,1.2,5.5,.201,,6.7,0.6,7.3,3.1
152,Jaime Echenique\echenja01,C,24,WAS,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.012,,-5.3,-2.9,-8.2,0.0
153,Anthony Edwards\edwaran01,SG,20,MIN,51,1784,17.1,.559,.479,.213,2.6,12.4,7.3,16.9,2.1,2.0,12.4,27.3,,1.5,1.7,3.2,.086,,1.9,-0.5,1.4,1.5
154,Kessler Edwards\edwarke02,SF,21,BRK,25,639,8.4,.513,.500,.060,4.6,13.7,9.3,3.3,1.7,2.4,13.5,13.5,,-0.2,0.6,0.4,.027,,-3.3,-0.8,-4.1,-0.3
155,Rob Edwards\edwarro01,SG,25,OKC,2,11,-0.7,.375,1.000,.000,0.0,28.2,13.9,0.0,0.0,0.0,20.0,19.7,,0.0,0.0,0.0,-0.168,,-8.3,-2.9,-11.2,0.0
156,CJ Elleby\ellebcj01,SF,21,POR,33,464,11.0,.504,.431,.154,6.2,16.2,11.1,10.9,1.8,1.3,10.3,14.5,,0.3,0.3,0.6,.061,,-2.7,-0.5,-3.2,-0.1
157,Wayne Ellington\ellinwa01,SG,34,LAL,34,657,9.0,.580,.907,.027,1.5,7.8,4.7,5.0,1.3,0.3,7.5,13.1,,0.4,0.4,0.8,.059,,-1.2,-0.6,-1.8,0.0
158,Joel Embiid\embiijo01,C,27,PHI,44,1451,31.8,.607,.190,.569,6.9,30.2,18.7,25.6,1.6,4.0,10.7,37.3,,5.3,2.7,8.0,.264,,7.6,2.3,9.9,4.4
159,James Ennis III\ennisja01,SF,31,TOT,7,56,18.0,.553,.333,.208,9.8,13.1,11.5,7.6,1.7,3.1,7.1,22.1,,0.1,0.1,0.1,.117,,0.0,-1.1,-1.1,0.0
159,James Ennis III\ennisja01,SF,31,BRK,2,14,15.0,.357,.286,.000,15.7,22.6,19.2,0.0,3.5,6.3,0.0,21.6,,0.0,0.0,0.0,.033,,-0.4,-0.6,-0.9,0.0
159,James Ennis III\ennisja01,SF,31,LAC,2,28,26.7,.784,.364,.364,7.7,11.0,9.4,0.0,1.7,3.0,7.3,21.6,,0.1,0.0,0.2,.282,,3.7,0.1,3.8,0.0
159,James Ennis III\ennisja01,SF,31,DEN,3,14,3.9,.311,.333,.167,8.1,7.8,7.9,30.4,0.0,0.0,13.4,23.5,,0.0,0.0,0.0,-0.131,,-7.1,-4.0,-11.1,0.0
160,Drew Eubanks\eubandr01,C,24,SAS,49,595,16.3,.588,.050,.497,11.2,23.4,17.2,11.1,1.1,4.2,19.2,17.1,,0.7,0.8,1.5,.118,,-1.7,0.5,-1.3,0.1
161,Tacko Fall\fallta01,C,26,CLE,11,59,11.4,.398,.000,.583,13.3,28.5,21.2,4.6,0.0,9.0,16.6,13.5,,-0.1,0.1,0.1,.059,,-4.0,0.7,-3.3,0.0
162,Derrick Favors\favorde01,C,30,OKC,36,604,13.8,.523,.088,.129,9.3,20.0,14.6,6.3,1.2,1.7,4.3,13.5,,0.7,0.7,1.5,.117,,-2.3,0.2,-2.1,0.0
163,Bruno Fernando\fernabr01,C,23,BOS,20,58,12.9,.586,.071,.357,13.0,14.5,13.7,10.0,0.0,4.7,23.6,16.0,,0.0,0.1,0.1,.103,,-3.2,0.2,-3.0,0.0
164,Dorian Finney-Smith\finnedo01,PF,28,DAL,56,1833,11.4,.557,.603,.139,5.2,11.0,8.1,8.5,1.8,1.4,11.0,13.8,,1.5,2.5,4.0,.104,,-0.8,0.9,0.1,1.0
165,Malik Fitts\fittsma01,PF,24,UTA,7,35,-1.5,.333,.444,.000,0.0,29.8,15.5,0.0,0.0,0.0,18.2,13.7,,-0.1,0.0,-0.1,-0.104,,-7.8,-2.0,-9.8,-0.1
166,Malachi Flynn\flynnma01,PG,23,TOR,32,290,10.2,.462,.510,.088,2.5,11.4,6.8,16.1,2.2,1.0,8.6,17.2,,0.1,0.3,0.3,.058,,-3.1,0.1,-3.0,-0.1
167,Bryn Forbes\forbebr01,SG,28,TOT,53,927,11.8,.558,.498,.145,0.7,8.5,4.6,8.7,1.0,0.4,8.6,22.0,,0.5,0.5,0.9,.048,,-0.8,-2.1,-3.0,-0.2
167,Bryn Forbes\forbebr01,SG,28,SAS,40,676,12.7,.572,.510,.166,0.6,9.2,4.9,8.5,1.2,0.4,9.4,22.0,,0.5,0.4,0.8,.058,,-0.1,-1.6,-1.7,0.0
167,Bryn Forbes\forbebr01,SG,28,DEN,13,251,9.4,.520,.464,.089,0.9,6.5,3.8,9.0,0.4,0.4,6.4,21.9,,0.0,0.1,0.1,.019,,-2.7,-3.7,-6.4,-0.3
168,Aleem Ford\fordal03,SF,24,ORL,5,74,0.6,.350,.750,.000,2.9,18.8,10.8,3.8,0.7,0.0,16.7,14.1,,-0.2,0.0,-0.2,-0.108,,-8.9,-2.3,-11.3,-0.2
169,Trent Forrest\forretr01,PG,23,UTA,44,538,11.5,.601,.163,.327,3.4,11.3,7.5,16.3,2.1,0.5,22.7,12.4,,0.5,0.6,1.1,.097,,-2.2,1.5,-0.6,0.2
170,Evan Fournier\fournev01,SG,29,NYK,55,1605,12.6,.555,.608,.120,1.9,9.0,5.4,10.2,1.6,0.9,10.0,21.4,,1.0,1.3,2.3,.067,,-0.3,-0.7,-1.0,0.4
171,De'Aaron Fox\foxde01,PG,24,SAC,46,1578,16.5,.536,.213,.337,1.4,10.8,6.1,24.4,1.6,1.0,12.2,28.4,,1.0,0.6,1.7,.050,,-0.2,-1.4,-1.6,0.2
172,Tim Frazier\fraziti01,PG,31,ORL,10,200,4.0,.394,.395,.209,2.7,7.5,5.1,22.9,0.7,0.5,21.7,13.0,,-0.2,0.1,-0.2,-0.041,,-6.1,-1.9,-8.0,-0.3
173,Enes Freedom\kanteen01,C,29,BOS,35,411,15.3,.585,.052,.289,16.0,25.3,20.7,2.8,0.6,3.1,15.5,13.8,,0.6,0.7,1.4,.161,,-1.3,-0.4,-1.7,0.0
174,Wenyen Gabriel\gabriwe01,PF,24,TOT,7,47,8.5,.474,.385,.308,11.5,21.7,16.8,6.0,1.0,3.6,16.9,16.6,,0.0,0.1,0.0,.045,,-6.5,-1.0,-7.5,-0.1
174,Wenyen Gabriel\gabriwe01,PF,24,BRK,1,1,11.8,,,,0.0,100.0,53.8,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.164,,-1.8,0.0,-1.8,0.0
174,Wenyen Gabriel\gabriwe01,PF,24,LAC,6,46,8.5,.474,.385,.308,11.7,20.0,16.0,6.1,1.1,3.7,16.9,16.9,,0.0,0.1,0.0,.042,,-6.6,-1.0,-7.6,-0.1
175,Daniel Gafford\gaffoda01,C,23,WAS,48,988,21.4,.700,.000,.322,12.1,19.5,15.9,7.6,1.0,6.3,12.6,15.7,,2.9,1.2,4.1,.200,,1.1,1.0,2.0,1.0
176,Danilo Gallinari\gallida01,PF,33,ATL,45,1042,14.3,.580,.513,.315,2.7,17.9,10.4,8.3,0.9,0.8,6.4,17.8,,1.9,0.5,2.3,.107,,0.8,-1.2,-0.3,0.4
177,Langston Galloway\gallola01,SG,30,TOT,7,107,0.8,.269,.615,.000,3.0,14.6,8.9,13.9,0.5,0.0,18.8,12.9,,-0.3,0.1,-0.2,-0.100,,-7.9,-1.9,-9.8,-0.2
177,Langston Galloway\gallola01,SG,30,BRK,4,58,2.0,.462,.615,.000,1.9,12.7,7.4,11.1,0.0,0.0,27.8,13.4,,-0.1,0.0,-0.1,-0.075,,-7.5,-3.0,-10.5,-0.1
177,Langston Galloway\gallola01,SG,30,MIL,3,49,-0.6,.077,.615,.000,4.4,16.9,10.8,17.2,1.0,0.0,7.1,12.3,,-0.2,0.0,-0.1,-0.129,,-8.5,-0.6,-9.1,-0.1
178,Darius Garland\garlada01,PG,22,CLE,46,1591,18.1,.582,.417,.148,1.6,8.7,5.3,38.3,1.7,0.2,17.8,26.7,,2.2,2.0,4.2,.126,,3.0,-0.5,2.5,1.8
179,Marcus Garrett\garrema01,SG,23,MIA,12,128,4.7,.280,.190,.238,8.0,12.2,10.1,7.1,2.0,2.5,7.9,8.7,,-0.1,0.2,0.1,.033,,-6.2,0.9,-5.3,-0.1
180,Usman Garuba\garubus01,PF,19,HOU,15,105,12.2,.382,.542,.083,9.4,26.3,17.8,10.5,3.2,5.3,10.8,11.2,,0.0,0.1,0.1,.056,,-2.0,1.6,-0.4,0.0
181,Luka Garza\garzalu01,C,23,DET,29,340,14.4,.530,.331,.339,14.9,12.4,13.7,7.7,1.1,1.1,10.7,20.0,,0.4,0.1,0.5,.074,,-1.2,-2.2,-3.4,-0.1
182,Rudy Gay\gayru01,PF,35,UTA,35,699,14.2,.551,.563,.242,5.7,19.0,12.6,8.1,1.4,1.5,9.6,19.5,,0.8,0.9,1.7,.117,,0.0,-0.1,-0.1,0.3
183,Paul George\georgpa01,SF,31,LAC,26,924,17.9,.528,.390,.210,1.3,19.3,10.5,27.2,2.8,0.9,15.2,34.0,,-0.7,1.5,0.8,.040,,1.3,1.6,2.9,1.1
184,Taj Gibson\gibsota01,C,36,NYK,37,674,11.1,.607,.200,.314,9.1,17.0,13.0,5.4,1.2,4.4,16.1,9.3,,0.8,0.8,1.7,.119,,-3.7,1.1,-2.6,-0.1
185,Josh Giddey\giddejo01,SG,19,OKC,51,1591,13.4,.475,.328,.117,5.6,19.6,12.5,32.7,1.4,1.2,19.5,21.9,,-1.1,1.9,0.8,.024,,-1.4,0.3,-1.1,0.4
186,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,43,1487,19.3,.531,.306,.377,2.0,12.0,6.9,29.1,1.6,2.1,10.1,29.8,,1.7,1.6,3.3,.106,,2.3,0.4,2.7,1.8
187,Anthony Gill\gillan01,PF,29,WAS,23,166,16.3,.757,.216,.568,8.0,11.6,9.8,8.1,0.6,1.5,11.5,14.0,,0.5,0.1,0.6,.180,,-0.4,-1.3,-1.6,0.0
188,Freddie Gillespie\gillefr01,PF,24,ORL,9,119,9.6,.419,.045,.318,11.6,20.7,16.1,5.9,1.2,6.8,16.6,11.0,,0.0,0.2,0.1,.045,,-5.3,0.8,-4.5,-0.1
189,Rudy Gobert\goberru01,C,29,UTA,42,1364,25.6,.728,.006,.848,12.8,36.7,25.2,5.3,1.2,6.0,14.3,17.1,,5.0,2.9,7.9,.277,,3.3,2.1,5.4,2.6
190,Brandon Goodwin\goodwbr01,PG,26,CLE,16,254,11.9,.466,.376,.165,3.1,12.8,8.1,27.8,3.1,0.0,16.5,18.9,,0.0,0.4,0.4,.076,,-3.1,2.1,-1.0,0.1
191,Jordan Goodwin\goodwjo01,SG,23,WAS,2,6,-20.6,.000,.333,.000,0.0,17.8,9.1,0.0,0.0,0.0,0.0,22.2,,-0.1,0.0,-0.1,-0.531,,-24.5,-9.4,-33.8,0.0
192,Aaron Gordon\gordoaa01,PF,26,DEN,51,1621,15.7,.601,.323,.271,6.0,13.8,10.0,12.1,1.1,1.6,12.4,19.4,,2.4,1.4,3.8,.113,,0.8,-0.8,0.0,0.8
193,Eric Gordon\gordoer01,SG,33,HOU,45,1326,13.6,.626,.511,.251,1.1,6.3,3.7,16.3,0.8,1.1,15.0,19.1,,1.7,-0.2,1.5,.056,,0.8,-2.5,-1.6,0.1
194,Devonte' Graham\grahade01,PG,26,NOP,52,1615,12.1,.510,.680,.162,1.7,7.4,4.5,22.1,1.5,0.5,10.8,20.4,,1.0,0.7,1.7,.052,,0.3,-1.6,-1.3,0.3
195,Jerami Grant\grantje01,PF,27,DET,31,1001,15.5,.533,.341,.371,2.3,13.1,7.4,13.8,1.4,3.1,10.1,26.2,,0.4,0.7,1.1,.051,,0.7,-0.5,0.2,0.6
196,Hassani Gravett\graveha01,PG,25,ORL,8,171,10.3,.629,.684,.105,0.6,12.5,6.5,17.2,1.4,0.5,18.5,12.4,,0.1,0.1,0.2,.069,,-2.2,0.0,-2.2,0.0
197,Danny Green\greenda02,SF,34,PHI,38,888,10.2,.577,.836,.047,2.4,9.5,6.0,6.1,2.3,2.9,13.8,12.9,,0.2,1.1,1.3,.071,,-1.1,1.0,-0.2,0.4
198,Draymond Green\greendr01,PF,31,GSW,34,1018,15.1,.581,.209,.333,4.2,22.5,13.7,33.7,2.2,3.8,31.5,14.4,,0.8,2.3,3.1,.146,,-0.7,4.7,3.9,1.5
199,Jalen Green\greenja05,SG,19,HOU,40,1213,9.3,.507,.484,.288,1.4,10.5,5.9,12.1,0.9,0.5,13.9,23.0,,-0.9,0.0,-0.9,-0.035,,-2.5,-2.7,-5.2,-1.0
200,JaMychal Green\greenja01,PF,31,DEN,43,636,14.0,.558,.439,.266,7.3,19.8,13.7,8.1,2.4,2.6,14.0,19.3,,0.4,1.0,1.3,.101,,-2.5,0.8,-1.7,0.0
201,Javonte Green\greenja02,SF,28,CHI,40,953,14.2,.632,.278,.351,7.3,12.3,9.8,6.3,1.8,2.0,8.9,12.0,,2.0,0.9,2.8,.143,,-0.5,0.2,-0.3,0.4
202,Jeff Green\greenje02,C,35,DEN,52,1280,12.6,.614,.321,.353,2.7,11.6,7.2,7.2,0.7,1.5,9.7,16.8,,1.9,0.9,2.8,.104,,-1.4,-1.1,-2.5,-0.2
