Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,46,23,23.3,3.1,7.3,.421,0.3,1.2,.291,2.7,6.1,.447,.445,0.9,1.6,.569,2.2,4.7,7.0,1.2,0.5,0.6,1.0,2.0,7.4
2,Steven Adams\adamsst01,C,28,MEM,54,53,25.9,2.7,5.0,.541,0.0,0.0,,2.7,5.0,.541,.541,1.6,2.8,.567,4.5,5.1,9.6,3.2,0.9,0.7,1.6,1.8,7.0
3,Bam Adebayo\adebaba01,C,24,MIA,32,32,33.0,7.1,13.4,.527,0.0,0.1,.000,7.1,13.3,.531,.527,4.5,5.9,.767,2.8,7.3,10.1,3.5,1.6,0.6,3.0,3.1,18.7
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,10.3,1.4,3.6,.381,0.1,1.4,.103,1.2,2.1,.569,.402,0.4,0.7,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,11,22.9,5.8,10.4,.555,0.3,1.1,.316,5.4,9.3,.582,.571,1.6,1.9,.853,1.5,4.1,5.6,0.9,0.4,1.1,0.9,1.8,13.4
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,19,25.8,4.6,12.4,.375,1.9,6.0,.311,2.8,6.4,.434,.450,1.4,1.9,.722,0.7,2.5,3.2,2.7,0.8,0.4,1.7,1.7,12.5
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Grayson Allen\allengr01,SG,26,MIL,47,46,28.1,4.0,9.5,.427,2.5,6.4,.393,1.5,3.0,.500,.561,1.0,1.2,.857,0.6,2.9,3.4,1.5,0.8,0.3,0.6,1.4,11.6
8,Jarrett Allen\allenja01,C,23,CLE,49,49,32.6,6.6,9.9,.665,0.0,0.2,.100,6.6,9.7,.676,.666,3.0,4.3,.700,3.6,7.5,11.1,1.8,0.8,1.3,1.7,1.8,16.2
9,Jose Alvarado\alvarjo01,PG,23,NOP,29,1,12.9,2.0,4.7,.434,0.6,1.9,.321,1.4,2.8,.513,.500,0.6,0.8,.696,0.3,1.1,1.4,2.0,1.0,0.1,0.4,1.3,5.2
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,45,8,22.2,3.1,7.2,.435,0.6,1.7,.333,2.6,5.5,.467,.475,1.0,1.6,.653,1.0,4.4,5.4,2.7,1.1,0.6,1.0,1.6,7.9
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,47,32.5,9.9,18.3,.541,1.1,3.9,.298,8.8,14.5,.605,.572,8.0,11.1,.718,1.8,9.4,11.2,6.0,1.0,1.4,3.3,3.2,29.0
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,34,5,10.4,1.2,2.5,.477,0.0,0.3,.091,1.2,2.2,.533,.483,0.4,0.7,.625,0.9,1.4,2.3,0.6,0.4,0.3,0.6,1.7,2.9
14,Carmelo Anthony\anthoca01,PF,37,LAL,50,3,26.5,4.6,10.5,.437,2.3,5.9,.392,2.3,4.6,.496,.548,2.0,2.4,.824,0.8,3.3,4.2,1.0,0.7,0.8,0.9,2.2,13.4
15,Cole Anthony\anthoco01,PG,21,ORL,44,44,33.3,6.0,15.3,.395,2.2,6.5,.338,3.8,8.8,.437,.467,3.5,4.1,.851,0.6,5.2,5.8,6.0,0.9,0.3,2.9,2.6,17.8
16,OG Anunoby\anunoog01,SF,24,TOR,40,40,37.2,6.8,15.5,.439,2.5,7.0,.356,4.3,8.5,.507,.519,2.0,2.6,.743,1.7,4.1,5.7,2.7,1.6,0.6,1.8,3.0,18.0
17,Trevor Ariza\arizatr01,SF,36,LAL,19,8,19.3,1.3,3.7,.352,1.0,3.1,.328,0.3,0.7,.462,.486,0.4,0.6,.583,0.3,3.1,3.4,1.2,0.5,0.2,0.5,0.9,4.0
18,D.J. Augustin\augusdj01,PG,34,HOU,34,2,15.0,1.6,4.0,.404,1.1,2.8,.406,0.5,1.2,.400,.548,1.0,1.1,.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
19,Deni Avdija\avdijde01,SF,21,WAS,55,6,23.0,2.7,6.2,.442,0.9,2.8,.303,1.9,3.4,.556,.510,1.1,1.5,.750,0.6,4.2,4.8,1.6,0.8,0.6,0.8,2.3,7.4
20,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
21,Deandre Ayton\aytonde01,C,23,PHO,35,35,29.1,7.2,11.1,.645,0.1,0.2,.250,7.1,10.9,.654,.648,2.0,2.8,.722,2.7,7.6,10.3,1.5,0.8,0.7,1.6,2.3,16.4
22,Udoka Azubuike\azubuud01,C,22,UTA,14,6,12.1,2.1,2.9,.725,0.0,0.0,,2.1,2.9,.725,.725,0.3,0.6,.444,1.0,3.2,4.2,0.0,0.1,0.8,0.9,1.6,4.4
23,Marvin Bagley III\baglema01,PF,22,SAC,30,17,21.9,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
24,LaMelo Ball\ballla01,PG,20,CHO,51,51,32.4,7.2,16.8,.427,2.7,7.3,.373,4.5,9.6,.467,.507,3.1,3.5,.867,1.6,5.4,7.0,7.5,1.6,0.4,3.1,3.1,20.1
25,Lonzo Ball\balllo01,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
26,Mo Bamba\bambamo01,C,23,ORL,47,45,26.3,4.0,8.5,.470,1.3,3.7,.351,2.7,4.8,.563,.546,0.9,1.1,.800,2.1,5.9,8.0,1.3,0.6,1.9,1.3,2.5,10.1
27,Desmond Bane\banede01,SF,23,MEM,54,54,30.1,6.6,14.3,.463,2.8,6.8,.415,3.8,7.5,.506,.561,1.7,1.9,.900,0.6,3.9,4.5,2.5,1.2,0.5,1.6,2.5,17.8
28,Dalano Banton\bantoda01,SF,22,TOR,45,1,11.9,1.5,3.5,.415,0.2,0.9,.262,1.2,2.6,.470,.450,0.4,0.7,.625,0.6,1.6,2.2,1.6,0.5,0.2,1.0,1.2,3.6
29,Cat Barber\barbeca01,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
30,Harrison Barnes\barneha02,PF,29,SAC,53,53,33.7,5.2,11.2,.467,2.0,4.9,.411,3.2,6.4,.510,.556,4.7,5.7,.827,1.1,5.0,6.1,2.5,0.7,0.2,1.6,1.3,17.2
31,Scottie Barnes\barnesc01,PF,20,TOR,47,47,35.8,5.8,12.2,.475,0.9,2.7,.317,5.0,9.6,.519,.510,2.3,3.1,.736,2.5,5.1,7.6,3.4,1.0,0.8,1.9,2.8,14.7
32,RJ Barrett\barrerj01,SF,21,NYK,48,48,33.1,6.4,15.5,.412,2.0,5.6,.354,4.4,9.8,.445,.476,3.2,4.6,.695,0.9,4.8,5.7,2.6,0.5,0.3,2.0,2.0,18.0
33,Will Barton\bartowi01,SG,31,DEN,49,49,32.6,5.9,13.2,.445,2.3,6.2,.377,3.6,7.0,.504,.533,1.3,1.7,.771,0.7,4.3,5.0,4.1,0.9,0.5,1.9,1.6,15.4
34,Paris Bass\basspa01,SF,26,PHO,2,0,3.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,1.0,1.0,1.000,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0
35,Charles Bassey\bassech01,PF,21,PHI,22,0,7.3,1.3,2.0,.651,0.0,0.2,.000,1.3,1.8,.718,.651,0.4,0.5,.727,0.9,1.8,2.7,0.3,0.2,0.8,0.4,1.4,2.9
36,Keita Bates-Diop\bateske01,SF,26,SAS,43,12,16.5,2.2,4.3,.500,0.3,1.0,.333,1.8,3.3,.549,.538,0.7,1.0,.690,1.1,2.9,4.0,0.6,0.5,0.3,0.7,1.0,5.3
37,Nicolas Batum\batumni01,PF,33,LAC,37,32,24.8,3.1,6.5,.485,1.9,4.7,.405,1.2,1.8,.697,.632,0.4,0.6,.667,0.5,3.9,4.3,1.5,1.0,0.7,0.8,1.4,8.6
38,Kent Bazemore\bazemke01,SF,32,LAL,31,14,14.7,1.3,3.8,.328,0.7,2.1,.354,0.5,1.7,.296,.424,0.4,0.5,.765,0.3,1.5,1.7,0.9,0.6,0.2,0.3,1.8,3.7
39,Darius Bazley\bazleda01,PF,21,OKC,51,35,27.0,3.6,8.9,.400,1.0,3.5,.294,2.5,5.4,.469,.458,1.6,2.3,.696,1.2,5.5,6.6,1.3,0.8,1.2,1.3,1.0,9.7
40,Bradley Beal\bealbr01,SG,28,WAS,40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
41,Malik Beasley\beaslma01,SG,25,MIN,57,10,25.7,4.4,11.5,.381,2.9,8.2,.359,1.4,3.3,.435,.509,0.6,0.7,.762,0.4,2.6,3.0,1.5,0.5,0.2,0.6,1.2,12.2
42,Jordan Bell\belljo01,C,27,CHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
43,DeAndre' Bembry\bembrde01,SF,27,BRK,48,20,19.8,2.5,4.4,.568,0.3,0.8,.417,2.2,3.7,.599,.603,0.4,0.7,.600,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8
44,Dāvis Bertāns\bertada01,PF,29,WAS,34,0,14.7,1.8,5.0,.351,1.4,4.2,.319,0.4,0.8,.519,.485,0.8,0.9,.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
45,Patrick Beverley\beverpa01,PG,33,MIN,38,34,26.1,3.1,7.7,.406,1.4,4.1,.340,1.7,3.6,.482,.497,1.4,1.9,.722,1.1,3.3,4.4,4.9,1.1,0.9,1.2,2.9,9.0
46,Saddiq Bey\beysa01,SF,22,DET,56,56,33.5,5.4,14.1,.385,2.5,7.4,.339,2.9,6.7,.436,.474,2.4,2.9,.833,1.4,4.4,5.7,2.7,0.9,0.2,1.3,1.7,15.7
47,Khem Birch\birchkh01,C,29,TOR,29,7,18.7,1.9,3.8,.486,0.0,0.3,.000,1.9,3.6,.524,.486,1.1,1.5,.750,2.3,2.2,4.5,1.2,0.8,0.4,0.6,1.6,4.9
48,Goga Bitadze\bitadgo01,C,22,IND,34,7,11.4,1.8,4.1,.442,0.2,1.4,.174,1.6,2.7,.576,.471,0.9,1.4,.625,1.4,1.4,2.8,0.7,0.4,0.7,0.8,1.8,4.7
49,Bismack Biyombo\biyombi01,C,29,PHO,17,3,18.1,3.5,5.6,.615,0.0,0.0,,3.5,5.6,.615,.615,1.6,3.0,.529,2.7,3.6,6.4,0.8,0.5,0.8,0.8,2.3,8.5
50,Nemanja Bjelica\bjeline01,C,33,GSW,51,0,15.4,2.3,5.1,.448,0.8,2.3,.336,1.5,2.7,.543,.525,0.9,1.3,.682,0.9,3.2,4.0,1.9,0.6,0.3,1.1,1.6,6.2
51,Eric Bledsoe\bledser01,PG,32,LAC,54,29,25.2,3.6,8.7,.421,0.9,3.0,.313,2.7,5.6,.479,.475,1.6,2.2,.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9
52,Keljin Blevins\blevike01,SF,26,POR,12,0,6.1,0.8,1.9,.391,0.5,1.2,.429,0.3,0.8,.333,.522,0.0,0.2,.000,0.2,0.5,0.7,0.3,0.0,0.0,0.5,0.4,2.0
53,Bogdan Bogdanović\bogdabo01,SG,29,ATL,38,26,28.8,4.8,11.2,.424,2.4,6.6,.369,2.3,4.6,.503,.533,1.1,1.4,.827,0.3,3.5,3.8,2.9,0.9,0.2,1.1,2.1,13.1
54,Bojan Bogdanović\bogdabo02,PF,32,UTA,54,54,31.0,6.1,13.3,.454,2.4,6.4,.376,3.6,6.9,.527,.544,3.3,3.8,.868,0.8,3.6,4.4,1.7,0.5,0.0,1.7,1.7,17.8
55,Bol Bol\bolbo01,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
56,Leandro Bolmaro\bolmale01,SF,21,MIN,25,2,7.5,0.4,1.3,.281,0.1,0.5,.167,0.3,0.8,.350,.313,0.3,0.4,.889,0.6,0.8,1.4,0.4,0.2,0.0,0.5,0.8,1.1
57,Isaac Bonga\bongais01,SF,22,TOR,13,0,5.1,0.2,1.0,.231,0.1,0.3,.250,0.2,0.7,.222,.269,0.3,0.5,.667,0.3,0.2,0.5,0.2,0.5,0.2,0.2,0.8,0.8
58,Devin Booker\bookede01,SG,25,PHO,49,49,33.9,9.3,20.8,.447,2.7,7.2,.369,6.6,13.6,.487,.510,4.3,5.0,.861,0.8,4.5,5.3,4.4,1.0,0.3,2.3,2.5,25.5
59,Brandon Boston Jr.\bostobr01,SG,20,LAC,39,0,15.5,2.4,6.6,.363,0.7,2.3,.289,1.7,4.3,.404,.414,1.2,1.4,.855,0.3,2.0,2.4,0.9,0.5,0.3,0.7,0.9,6.6
60,Chris Boucher\bouchch01,PF,29,TOR,53,8,20.1,3.2,7.0,.461,0.8,2.7,.283,2.4,4.2,.576,.516,1.9,2.5,.769,2.1,3.7,5.8,0.3,0.7,1.0,0.6,2.2,9.1
61,James Bouknight\bouknja01,SG,21,CHO,27,0,10.7,1.8,5.0,.353,0.6,1.8,.347,1.1,3.2,.356,.415,1.0,1.1,.871,0.8,1.0,1.7,0.8,0.2,0.0,0.4,1.0,5.2
62,Avery Bradley\bradlav01,SG,31,LAL,49,42,23.8,2.5,6.1,.411,1.4,3.6,.381,1.1,2.5,.455,.523,0.2,0.3,.857,0.6,1.8,2.3,0.8,0.9,0.2,0.7,1.9,6.6
63,Tony Bradley\bradlto01,C,24,CHI,43,7,11.3,1.4,2.5,.585,0.0,0.0,,1.4,2.5,.585,.585,0.3,0.5,.667,1.3,2.4,3.7,0.5,0.2,0.7,0.6,1.3,3.2
64,Ignas Brazdeikis\brazdig01,SF,23,ORL,27,0,8.9,1.0,2.7,.356,0.4,1.3,.294,0.6,1.4,.410,.425,0.4,0.5,.786,0.4,0.9,1.3,0.7,0.3,0.0,0.3,0.9,2.7
65,Mikal Bridges\bridgmi01,SF,25,PHO,56,56,34.7,5.3,9.9,.528,1.4,3.8,.373,3.8,6.2,.623,.599,1.3,1.5,.867,1.0,3.2,4.2,2.2,1.2,0.4,0.8,1.9,13.2
66,Miles Bridges\bridgmi02,PF,23,CHO,56,56,35.9,7.4,15.3,.482,1.8,5.8,.307,5.6,9.4,.591,.541,3.2,4.0,.800,1.2,5.9,7.0,3.6,1.1,0.9,1.9,2.6,19.7
67,Oshae Brissett\brissos01,SF,23,IND,45,3,19.9,2.4,6.0,.410,0.9,2.7,.344,1.5,3.2,.466,.489,1.2,1.8,.659,1.5,3.2,4.7,0.8,0.6,0.4,0.8,1.5,7.0
68,Malcolm Brogdon\brogdma01,PG,29,IND,28,28,33.4,6.6,14.7,.448,1.6,5.4,.307,4.9,9.3,.529,.504,3.8,4.4,.861,0.9,4.3,5.1,5.9,0.9,0.4,2.2,2.0,18.5
69,Armoni Brooks\brookar01,SG,23,HOU,41,8,16.8,2.1,6.1,.347,1.6,5.2,.300,0.6,0.9,.605,.474,0.4,0.5,.842,0.3,1.7,2.0,1.2,0.5,0.2,0.6,1.5,6.2
70,Dillon Brooks\brookdi01,SF,26,MEM,21,20,28.0,6.9,16.2,.426,1.6,4.8,.327,5.3,11.4,.469,.475,3.0,3.4,.889,0.8,2.5,3.3,2.7,1.3,0.2,1.8,3.3,18.4
71,Bruce Brown\brownbr01,SF,25,BRK,47,20,20.5,2.6,5.3,.480,0.3,0.8,.316,2.3,4.5,.509,.504,0.7,1.0,.717,1.2,3.0,4.2,1.2,0.9,0.5,0.7,2.3,6.1
72,Charlie Brown Jr.\brownch02,SG,24,TOT,18,2,9.2,0.5,2.0,.250,0.1,0.7,.083,0.4,1.3,.333,.264,0.4,0.4,.875,0.8,0.9,1.7,0.3,0.5,0.2,0.3,1.0,1.4
72,Charlie Brown Jr.\brownch02,SG,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
72,Charlie Brown Jr.\brownch02,SG,24,PHI,15,2,10.1,0.5,2.1,.258,0.1,0.6,.111,0.5,1.5,.318,.274,0.5,0.5,.875,0.9,1.1,2.0,0.3,0.5,0.2,0.3,1.1,1.6
73,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,2,20.8,2.0,6.4,.313,1.2,3.6,.333,0.8,2.8,.286,.406,1.0,1.2,.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2
73,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
73,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
74,Greg Brown III\browngr01,SF,20,POR,26,0,7.3,1.3,2.8,.446,0.2,0.8,.190,1.1,2.0,.547,.473,0.7,1.1,.607,0.7,1.2,1.8,0.3,0.3,0.3,0.3,0.9,3.3
75,Jaylen Brown\brownja02,SF,25,BOS,44,44,34.4,8.5,18.8,.455,2.6,7.6,.342,6.0,11.2,.530,.524,3.8,4.9,.776,0.8,5.8,6.6,3.2,1.1,0.3,2.9,2.5,23.5
76,Moses Brown\brownmo01,C,22,DAL,26,1,6.5,1.0,1.9,.540,0.0,0.0,,1.0,1.9,.540,.540,1.0,1.7,.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
77,Sterling Brown\brownst02,SG,26,DAL,36,3,14.3,1.4,3.6,.398,0.8,2.2,.342,0.7,1.4,.490,.504,0.3,0.3,.909,0.6,2.9,3.5,0.8,0.3,0.1,0.6,1.2,3.9
78,Troy Brown Jr.\browntr01,SF,22,CHI,46,6,17.8,1.8,4.3,.405,0.7,2.1,.327,1.1,2.2,.480,.485,0.4,0.5,.760,0.7,2.7,3.5,1.1,0.6,0.1,0.5,1.1,4.6
79,Jalen Brunson\brunsja01,PG,25,DAL,56,38,31.9,6.4,12.8,.502,1.1,3.1,.357,5.4,9.8,.547,.545,2.1,2.6,.808,0.5,3.3,3.8,5.4,0.9,0.1,1.7,1.9,16.1
80,Thomas Bryant\bryanth01,C,24,WAS,13,6,16.8,3.1,6.2,.494,0.7,2.0,.346,2.4,4.2,.564,.549,1.0,1.3,.765,1.2,2.5,3.7,0.8,0.5,0.5,0.7,1.7,7.8
81,Shaq Buchanan\buchash01,PG,25,MEM,2,0,5.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0
82,Reggie Bullock\bullore01,SF,30,DAL,49,18,25.3,2.8,6.8,.415,1.9,5.2,.363,0.9,1.6,.582,.554,0.6,0.7,.857,0.4,3.0,3.4,1.0,0.5,0.1,0.5,1.4,8.2
83,Trey Burke\burketr01,PG,29,DAL,32,0,10.8,2.2,5.3,.415,0.7,2.2,.333,1.5,3.2,.471,.482,0.5,0.5,.941,0.1,0.8,0.9,1.4,0.3,0.0,0.7,1.0,5.7
84,Alec Burks\burksal01,SG,30,NYK,56,21,26.6,3.3,8.6,.383,1.8,4.5,.392,1.6,4.2,.373,.484,2.7,3.3,.826,0.6,3.8,4.4,2.6,1.1,0.3,1.0,2.4,11.1
85,Jared Butler\butleja02,SG,21,UTA,27,1,7.8,1.3,3.3,.409,0.6,1.7,.362,0.7,1.5,.463,.506,0.3,0.4,.583,0.1,0.7,0.9,1.1,0.3,0.3,0.8,1.0,3.6
86,Jimmy Butler\butleji01,SF,32,MIA,38,38,33.8,7.2,14.6,.491,0.4,1.8,.206,6.8,12.8,.531,.504,7.0,7.8,.893,1.9,4.3,6.2,6.0,1.8,0.4,2.1,1.4,21.7
87,Devontae Cacok\cacokde01,PF,25,SAS,10,0,8.0,1.6,2.3,.696,0.0,0.0,,1.6,2.3,.696,.696,0.4,0.7,.571,0.5,2.5,3.0,0.2,0.5,0.7,0.2,1.1,3.6
88,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,52,52,29.3,4.1,10.0,.407,1.9,5.1,.367,2.2,4.8,.448,.501,1.3,1.4,.893,0.5,3.0,3.4,1.7,1.1,0.4,1.2,1.7,11.3
89,Facundo Campazzo\campafa01,PG,30,DEN,53,4,20.3,1.9,5.1,.379,1.1,3.3,.320,0.9,1.8,.485,.482,1.1,1.3,.800,0.4,1.5,1.9,3.7,1.1,0.4,1.2,2.0,6.0
90,Vlatko Čančar\cancavl01,PF,24,DEN,14,1,10.9,1.6,2.8,.564,0.5,0.9,.583,1.1,1.9,.556,.654,0.6,0.9,.750,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
