Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
289,Kai Jones\joneska01,C,21,CHO,17,48,,,12%,55%,33%,-10.2,-9.7,2,2,3,0,1,0,9,0,0
290,Mason Jones\jonesma05,SG,23,LAL,2,9,,100%,,,,-29.0,-27.7,0,1,0,0,1,0,0,0,0
291,Tre Jones\jonestr01,PG,22,SAS,45,607,100%,,,,,-3.3,-4.7,13,9,17,2,16,10,264,6,19
292,Tyus Jones\jonesty01,PG,25,MEM,51,1047,100%,,,,,6.7,2.7,21,9,9,1,14,2,515,4,13
293,DeAndre Jordan\jordade01,C,33,LAL,31,399,,,,,100%,-9.5,-9.4,5,8,29,6,13,0,31,1,6
294,Cory Joseph\josepco01,PG,30,DET,45,1082,93%,7%,,,,-8.4,3.6,32,21,36,9,27,22,437,11,12
295,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,48,,15%,68%,15%,2%,-50.5,-55.0,2,0,1,1,3,0,0,1,0
296,Frank Kaminsky\kaminfr01,C,28,PHO,9,181,,,,,100%,8.8,0.1,0,3,9,1,10,2,31,4,3
297,Luke Kennard\kennalu01,SG,25,LAC,48,1341,8%,85%,7%,,,3.5,9.4,23,10,25,5,15,2,255,5,11
298,Braxton Key\keybr01,SF,24,PHI,2,6,,,,100%,,-28.6,-31.2,1,1,1,0,0,0,2,0,0
299,George King\kingge03,SF,28,DAL,4,19,,,26%,74%,,-60.0,-63.7,1,0,3,0,1,0,0,0,1
300,Louis King\kinglo02,SF,22,SAC,10,104,,8%,56%,35%,1%,-14.7,-10.6,0,0,7,0,5,2,21,1,1
301,Corey Kispert\kispeco01,SF,22,WAS,50,955,1%,35%,60%,4%,,1.6,7.4,8,6,19,4,19,4,111,3,14
302,Maxi Kleber\klebima01,PF,30,DAL,40,1001,,,,69%,31%,2.8,-0.6,6,7,49,8,14,16,115,4,10
303,Brandon Knight\knighbr03,PG,30,DAL,3,54,49%,51%,,,,3.3,0.1,2,0,2,1,0,1,20,0,2
304,Nathan Knight\knighna01,PF,24,MIN,28,194,,,,28%,72%,0.6,-0.9,4,2,10,5,23,0,34,3,6
305,Kevin Knox\knoxke01,SF,22,TOT,20,157,,4%,38%,58%,1%,-14.7,-14.6,3,1,4,0,4,1,17,0,2
305,Kevin Knox\knoxke01,SF,22,NYK,13,111,,,26%,72%,1%,-23.0,-22.9,2,0,3,0,4,0,7,0,1
305,Kevin Knox\knoxke01,SF,22,ATL,7,46,,13%,66%,22%,,5.3,5.2,1,1,1,0,0,1,10,0,1
306,John Konchar\konchjo01,SG,25,MEM,50,925,17%,65%,18%,,,3.6,-2.1,17,4,39,0,14,4,175,0,4
307,Furkan Korkmaz\korkmfu01,SG,24,PHI,49,1175,1%,23%,71%,5%,,0.9,-3.1,25,5,23,1,29,9,281,4,15
308,Luke Kornet\kornelu01,C,26,TOT,3,18,,,,11%,89%,30.2,26.3,0,0,2,0,1,0,3,1,1
308,Luke Kornet\kornelu01,C,26,CLE,2,15,,,,13%,87%,54.9,51.0,0,0,1,0,1,0,3,1,1
308,Luke Kornet\kornelu01,C,26,MIL,1,3,,,,,100%,-93.3,-97.0,0,0,1,0,0,0,0,0,0
309,Vit Krejci\krejcvi01,SG,21,OKC,4,18,,41%,59%,,,5.6,12.8,1,0,0,0,1,0,4,0,0
310,Arnoldas Kulboka\kulboar01,SF,24,CHO,1,3,,,,100%,,-120.0,-119.4,0,0,0,0,0,0,0,0,0
311,Jonathan Kuminga\kuminjo01,SF,19,GSW,45,631,,,12%,58%,30%,3.1,-5.9,18,12,35,7,53,3,72,7,22
312,Kyle Kuzma\kuzmaky01,PF,26,WAS,52,1719,,,4%,87%,9%,-6.1,-8.5,50,38,57,14,75,6,371,19,31
313,Anthony Lamb\lamban01,SF,24,SAS,2,8,,,50%,50%,,25.8,25.6,0,0,0,0,0,0,5,0,1
314,Jeremy Lamb\lambje01,SF-SG,29,TOT,40,644,,36%,57%,7%,1%,3.5,7.9,13,5,20,1,30,1,131,7,6
314,Jeremy Lamb\lambje01,SF,29,IND,39,613,,35%,57%,7%,1%,1.5,5.9,13,5,20,1,30,1,120,7,6
314,Jeremy Lamb\lambje01,SG,29,SAC,1,31,,40%,60%,,,42.9,47.8,0,0,0,0,0,0,11,0,0
315,Jock Landale\landajo01,C,26,SAS,36,366,,,,3%,97%,0.2,-0.1,10,4,22,5,13,3,82,5,10
316,Romeo Langford\langfro01,SG,22,BOS,44,728,3%,43%,52%,2%,,1.3,-5.0,9,3,27,1,17,3,49,6,14
317,Zach LaVine\lavinza01,SF,26,CHI,47,1624,,17%,68%,15%,,3.0,1.8,49,56,36,11,93,1,487,29,40
318,Jake Layman\laymaja01,SF,27,MIN,23,169,,3%,60%,37%,,-12.7,-15.0,3,3,5,1,5,0,17,2,3
319,Damion Lee\leeda03,SG,29,GSW,46,934,3%,69%,27%,1%,,1.5,-9.2,8,10,35,7,12,9,108,2,9
320,Saben Lee\leesa01,PG,22,DET,28,407,100%,,,,,-9.1,1.7,18,3,10,1,20,6,158,3,15
321,Alex Len\lenal01,C,28,SAC,33,557,,,,,100%,-6.6,-2.8,13,11,49,14,26,1,108,6,12
322,Caris LeVert\leverca01,SG,27,TOT,42,1309,10%,61%,29%,,,-1.6,2.1,33,31,41,5,69,13,445,14,42
322,Caris LeVert\leverca01,SG,27,IND,39,1214,8%,60%,31%,,,-1.4,2.9,29,30,39,5,67,11,415,14,38
322,Caris LeVert\leverca01,SG,27,CLE,3,95,26%,72%,3%,,,-3.1,-7.6,4,1,2,0,2,2,30,0,4
323,Kira Lewis Jr.\lewiski01,PG,20,NOP,24,341,92%,8%,,,,-15.5,-13.2,19,5,8,0,6,4,120,2,6
324,Scottie Lewis\lewissc01,SG,21,CHO,2,7,33%,67%,,,,-26.7,-26.1,0,0,0,0,0,0,2,0,0
325,Damian Lillard\lillada01,PG,31,POR,29,1056,100%,,,,,-1.5,4.4,59,17,21,4,53,9,505,8,22
326,Nassir Little\littlna01,SF,21,POR,42,1088,,,64%,35%,,-0.7,5.9,15,15,50,5,44,5,147,12,14
327,Isaiah Livers\liveris01,SF,23,DET,1,5,,,,100%,,-18.2,-7.6,1,0,1,0,0,0,0,0,0
328,Kevon Looney\looneke01,C,25,GSW,57,1217,,,,1%,99%,7.8,0.4,21,14,78,13,48,2,231,7,30
329,Brook Lopez\lopezbr01,C,33,MIL,1,28,,,,,100%,-6.4,-10.0,0,0,2,0,0,0,0,0,2
330,Robin Lopez\lopezro01,C,33,ORL,26,459,,,,,100%,-6.8,2.4,8,6,27,15,17,1,101,4,4
331,Didi Louzada\louzama01,SF,22,NOP,2,7,,,,100%,,-37.9,-34.0,0,0,0,0,0,0,2,0,0
332,Kevin Love\loveke01,PF,33,CLE,49,1091,,,23%,70%,7%,4.2,-0.1,35,14,26,8,49,21,242,8,8
333,Kyle Lowry\lowryky01,PG,35,MIA,44,1493,100%,,,,,6.4,3.3,95,16,48,9,42,35,848,9,15
334,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,35,447,,5%,87%,8%,,-4.7,-5.8,8,1,13,2,10,7,66,2,5
335,Trey Lyles\lylestr01,PF,26,DET,51,990,,,,35%,65%,-8.1,3.8,25,14,51,11,93,6,145,33,18
336,Théo Maledon\maledth01,PG,20,OKC,29,404,84%,16%,,,,-17.0,-11.5,16,4,12,0,15,4,84,3,6
337,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,31,301,,,1%,40%,60%,-20.3,-26.7,4,3,12,0,6,0,41,2,7
338,Terance Mann\mannte01,SF,25,LAC,57,1635,,10%,66%,24%,,-1.4,0.0,24,13,48,8,43,14,339,8,30
339,Tre Mann\manntr01,PG,20,OKC,43,835,100%,,,,,-7.6,-0.6,15,14,41,2,22,2,102,5,22
340,Boban Marjanović\marjabo01,C,33,DAL,17,98,,,,,100%,16.8,14.1,2,4,10,2,8,1,5,4,5
341,Lauri Markkanen\markkla01,PF,24,CLE,38,1148,,,,74%,26%,7.3,5.3,12,12,36,3,33,5,133,8,33
342,Naji Marshall\marshna01,SF,24,NOP,31,301,,11%,68%,21%,,-5.3,-1.5,12,7,12,2,16,4,59,1,9
343,Caleb Martin\martica02,SF,26,MIA,44,1009,,19%,60%,21%,,4.1,-1.3,13,8,30,7,35,14,119,6,16
344,Cody Martin\martico01,SF,26,CHO,49,1334,8%,65%,26%,1%,,1.4,3.9,21,15,34,3,34,21,315,8,24
345,Kelan Martin\martike03,SF,26,IND,27,444,,3%,68%,28%,1%,-5.6,-3.0,9,1,17,1,7,0,51,1,10
346,Kenyon Martin Jr.\martike04,SF,21,HOU,52,1021,,,17%,75%,8%,-5.7,6.2,17,9,44,6,43,3,177,10,37
347,Garrison Mathews\mathega01,SG,25,HOU,38,1046,,15%,84%,1%,,-5.6,6.5,13,5,59,2,42,48,96,10,13
348,Dakota Mathias\mathida01,SG,26,MEM,6,16,80%,20%,,,,-37.5,-42.7,0,0,0,0,0,0,2,0,0
349,Wesley Matthews\matthwe02,SG,35,MIL,28,538,15%,45%,39%,2%,,13.0,11.8,5,3,25,1,5,15,47,2,6
350,Tyrese Maxey\maxeyty01,PG,21,PHI,49,1745,99%,1%,,,,3.6,2.8,32,16,58,7,76,4,554,24,36
351,Skylar Mays\mayssk01,SG,24,ATL,22,202,23%,63%,14%,,,-7.3,-8.0,6,2,4,0,4,2,44,3,4
352,Miles McBride\mcbrimi01,PG,21,NYK,21,151,95%,5%,,,,11.9,13.7,1,2,7,0,1,0,58,1,3
353,Mac McClung\mccluma01,PG,23,CHI,1,3,,100%,,,,-60.0,-62.4,1,0,0,0,0,0,0,0,0
354,CJ McCollum\mccolcj01,SG,30,TOT,38,1340,5%,89%,7%,,,-4.9,-0.6,43,21,39,5,36,5,423,10,34
354,CJ McCollum\mccolcj01,SG,30,POR,36,1267,4%,90%,7%,,,-4.1,0.2,38,18,36,5,34,5,398,9,30
354,CJ McCollum\mccolcj01,SG,30,NOP,2,73,16%,79%,5%,,,-18.1,-14.5,5,3,3,0,2,0,25,1,4
355,T.J. McConnell\mccontj01,PG,29,IND,24,581,100%,,,,,-4.0,-1.1,21,5,23,0,7,9,284,3,8
356,Jaden McDaniels\mcdanja02,PF,21,MIN,54,1402,,,34%,66%,,-1.4,-5.7,24,8,97,9,29,11,153,15,25
357,Jalen McDaniels\mcdanja01,SF,24,CHO,39,685,,,29%,68%,3%,3.0,4.8,7,15,31,3,22,6,107,6,3
358,Doug McDermott\mcderdo01,PF,30,SAS,41,1002,,,,97%,3%,-2.3,-4.2,14,13,34,2,12,1,114,2,19
359,JaVale McGee\mcgeeja01,C,34,PHO,50,811,,,,,100%,7.6,-1.5,18,20,68,24,49,6,75,19,10
360,Cameron McGriff\mcgrica01,SF,24,POR,3,46,,,14%,78%,8%,7.5,11.9,0,0,4,0,1,0,8,0,0
361,Rodney McGruder\mcgruro01,SG,30,DET,31,426,,34%,61%,6%,,0.5,13.2,5,4,14,3,5,3,62,0,8
362,Alfonzo McKinnie\mckinal01,SF,29,CHI,17,206,,6%,47%,47%,,-12.7,-16.2,2,1,14,1,3,1,10,0,4
363,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,11,50%,50%,,,,-41.8,-45.2,0,0,1,0,0,0,5,0,0
364,Jordan McLaughlin\mclaujo01,PG,25,MIN,39,482,100%,,,,,-1.1,-3.1,16,4,7,0,11,5,277,3,11
365,Ben McLemore\mclembe01,SG,28,POR,40,745,3%,76%,21%,,,-7.6,-4.7,12,7,35,1,10,6,84,1,11
366,De'Anthony Melton\meltode01,SG,23,MEM,49,1116,16%,82%,2%,,,8.0,5.1,34,22,39,4,27,6,311,2,26
367,Sam Merrill\merrisa01,SG,25,MEM,6,58,66%,15%,11%,8%,,-11.5,-16.8,2,0,2,0,2,1,8,1,0
368,Chimezie Metu\metuch01,C,24,SAC,40,895,,,,74%,26%,-3.8,0.9,16,18,21,5,29,7,111,4,23
369,Khris Middleton\middlkh01,SF,30,MIL,45,1434,,10%,51%,37%,2%,5.7,4.7,87,33,51,8,69,4,556,18,26
370,C.J. Miles\milescj01,SG,34,BOS,1,2,,100%,,,,-125.0,-130.1,0,0,1,0,0,0,0,0,0
371,Patty Mills\millspa02,PG,33,BRK,55,1704,100%,,,,,2.4,5.7,34,8,29,5,15,29,318,6,20
372,Paul Millsap\millspa01,PF,36,BRK,24,270,,,10%,61%,30%,0.2,-0.2,3,4,30,2,7,1,56,1,3
373,Shake Milton\miltosh01,PG,25,PHI,29,714,61%,39%,,,,-1.9,-6.1,21,7,26,6,27,3,193,12,14
374,Davion Mitchell\mitchda01,PG,23,SAC,52,1350,62%,38%,,,,-2.6,3.6,41,12,44,3,17,11,446,5,25
375,Donovan Mitchell\mitchdo01,SG,25,UTA,44,1466,49%,51%,,,,9.2,5.7,64,50,39,13,90,8,562,30,33
376,Evan Mobley\mobleev01,PF,20,CLE,49,1667,,,32%,36%,32%,4.4,0.5,30,46,69,7,86,0,301,22,33
377,Malik Monk\monkma01,SG,23,LAL,51,1378,20%,51%,29%,,,2.9,8.8,47,13,50,5,31,4,298,10,22
378,Greg Monroe\monrogr01,C,31,TOT,9,139,,,,,100%,1.9,0.2,7,0,8,0,7,0,34,2,10
378,Greg Monroe\monrogr01,C,31,MIN,3,63,,,,,100%,-5.3,-6.9,4,0,4,0,3,0,26,1,2
378,Greg Monroe\monrogr01,C,31,WAS,2,18,,,,,100%,18.9,22.2,2,0,1,0,0,0,2,0,2
378,Greg Monroe\monrogr01,C,31,MIL,4,58,,,,,100%,4.5,0.9,1,0,3,0,4,0,6,1,6
379,Moses Moody\moodymo01,SG,19,GSW,33,309,,41%,50%,9%,,-5.1,-14.4,4,1,15,2,8,3,27,1,1
380,Xavier Moon\moonxa01,SG,27,LAC,6,83,94%,7%,,,,-8.7,-7.5,2,1,3,0,1,0,27,0,3
381,Matt Mooney\moonema01,SG,24,NYK,1,2,100%,,,,,-90.0,-89.0,1,0,0,0,0,0,0,0,0
382,Ja Morant\moranja01,PG,22,MEM,45,1489,90%,10%,,,,4.6,-0.8,97,42,29,3,129,4,719,32,76
383,Juwan Morgan\morgaju01,PF,24,TOR,1,27,,,47%,53%,,-45.5,-48.0,0,0,1,0,0,0,2,0,0
384,Jaylen Morris\morrija01,SG,26,SAS,3,16,59%,41%,,,,14.3,14.0,0,1,1,0,1,0,6,0,1
385,Marcus Morris\morrima03,PF,32,LAC,33,995,,,31%,60%,9%,-6.5,-7.7,21,13,34,3,34,7,185,8,17
386,Markieff Morris\morrima02,PF,32,MIA,10,187,,,,86%,14%,8.4,3.7,5,2,11,3,3,1,36,1,1
387,Monte Morris\morrimo01,PG,26,DEN,51,1529,87%,13%,,,,7.4,12.5,33,10,26,4,21,8,527,5,26
388,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,11,100%,,,,,-16.4,-12.0,1,0,1,0,1,0,9,0,0
389,Mychal Mulder\muldemy01,PG,27,ORL,15,195,84%,16%,,,,-14.4,-6.0,5,1,3,1,1,1,8,0,6
390,Ade Murkey\murkead01,SG,24,SAC,1,1,,,100%,,,-16.7,-12.2,0,0,0,0,0,0,0,0,0
391,Trey Murphy III\murphtr02,SF,21,NOP,40,514,,1%,51%,45%,2%,-4.6,-0.7,7,4,16,1,13,6,50,3,7
392,Dejounte Murray\murrade01,PG,25,SAS,50,1719,95%,5%,,,,2.1,4.7,86,24,36,7,70,8,1091,20,42
393,Mike Muscala\muscami01,C,30,OKC,43,592,,,,,100%,0.5,10.0,4,6,35,3,26,3,55,7,10
394,Svi Mykhailiuk\mykhasv01,SF,24,TOR,42,649,11%,50%,36%,3%,,-7.7,-12.9,13,9,21,2,14,6,98,2,11
395,Abdel Nader\naderab01,SF,28,PHO,14,145,,13%,86%,1%,,-1.6,-10.9,8,2,6,1,4,3,20,0,2
396,Larry Nance Jr.\nancela02,PF,29,POR,37,858,,,,48%,52%,-1.3,4.3,12,3,24,8,21,10,186,5,9
397,RJ Nembhard Jr.\nembhrj01,SG,22,CLE,7,44,53%,39%,8%,,,-2.1,-6.5,1,1,2,0,1,0,24,0,3
398,Aaron Nesmith\nesmiaa01,SF,22,BOS,39,398,,24%,67%,10%,,0.5,-5.3,12,3,28,3,9,5,28,5,2
399,Raul Neto\netora01,PG,29,WAS,46,914,90%,10%,,,,-2.2,1.5,40,9,29,3,32,16,294,12,14
400,Malik Newman\newmama01,PG,24,CLE,1,8,100%,,,,,0.8,-3.5,1,0,0,0,1,0,3,0,0
401,Georges Niang\niangge01,PF,28,PHI,52,1201,,,31%,66%,3%,4.8,4.1,22,10,57,8,19,9,182,5,22
402,Daishen Nix\nixda01,SG,19,HOU,8,67,,11%,76%,14%,,-2.7,7.0,6,3,1,0,2,0,25,1,1
403,Zeke Nnaji\nnajize01,PF,21,DEN,39,651,,,3%,53%,43%,-3.2,-6.8,7,7,34,7,31,3,40,4,18
404,Nerlens Noel\noelne01,C,27,NYK,25,562,,,,,100%,-4.4,-4.2,3,7,33,6,10,6,53,4,4
405,Jaylen Nowell\nowelja01,SG,22,MIN,40,603,18%,57%,25%,,,-0.9,-3.0,13,5,31,0,24,3,202,8,11
406,Frank Ntilikina\ntilila01,PG,23,DAL,46,586,18%,79%,3%,,,3.9,0.9,19,2,23,5,10,7,122,2,8
407,Jusuf Nurkić\nurkiju01,C,27,POR,54,1514,,,,,100%,-1.6,5.8,51,40,78,38,120,6,372,33,44
408,David Nwaba\nwabada01,SF,29,HOU,35,485,,3%,50%,43%,4%,-6.6,3.7,10,4,23,1,25,2,66,5,18
409,Jordan Nwora\nworajo01,SF,23,MIL,43,820,,1%,37%,52%,10%,-4.5,-11.5,18,13,27,3,8,5,108,0,13
410,Royce O'Neale\onealro01,SF,28,UTA,52,1634,,24%,75%,1%,,6.1,-1.5,29,6,61,3,16,13,326,6,11
411,Semi Ojeleye\ojelese01,PF,27,MIL,20,308,,1%,6%,75%,18%,-18.3,-24.5,3,2,12,0,5,1,14,1,6
412,Chuma Okeke\okekech01,PF,23,ORL,47,1110,,,6%,90%,4%,-10.7,-3.2,23,9,33,3,22,4,172,3,10
413,Josh Okogie\okogijo01,SG,23,MIN,33,408,1%,39%,56%,4%,,0.4,-1.1,9,4,19,1,15,16,46,2,8
414,Onyeka Okongwu\okongon01,C,21,ATL,24,522,,,,2%,98%,5.1,6.1,10,7,47,7,24,1,66,5,10
415,Isaac Okoro\okorois01,SF,21,CLE,42,1213,1%,77%,22%,1%,,4.8,1.0,16,14,45,7,50,13,184,11,19
416,KZ Okpala\okpalkz01,PF,22,MIA,21,244,,,1%,56%,43%,4.3,-0.7,1,2,17,2,6,0,35,1,2
417,Cameron Oliver\oliveca01,SF,25,ATL,2,43,,,,38%,62%,3.5,3.4,0,0,3,0,2,0,7,1,0
418,Kelly Olynyk\olynyke01,C,30,DET,19,389,,,,,100%,-12.7,-2.4,14,7,24,8,19,8,135,7,9
419,Eugene Omoruyi\omorueu01,SF,24,DAL,4,18,,,,100%,,2.6,-0.6,0,0,1,0,1,0,4,0,0
420,Miye Oni\onimi01,SG,24,UTA,16,44,,10%,84%,6%,,-28.8,-36.1,0,0,4,0,1,0,14,1,0
421,Cedi Osman\osmande01,SF,26,CLE,45,1043,,28%,62%,10%,,1.3,-4.7,22,11,31,6,40,9,223,12,18
422,Daniel Oturu\oturuda01,C,22,TOR,3,27,,,,,100%,-42.1,-44.6,0,0,1,0,3,0,0,1,2
423,Kelly Oubre Jr.\oubreke01,SF,26,CHO,52,1475,1%,34%,58%,7%,,-1.3,-1.4,22,23,54,3,66,12,143,19,33
424,Jaysean Paige\paigeja01,PG,27,DET,1,7,,100%,,,,-69.6,-59.2,1,0,2,0,0,0,3,0,0
425,Trayvon Palmer\palmetr01,SG,27,DET,1,17,,,100%,,,-33.9,-23.5,1,0,1,0,0,0,0,0,0
426,Kevin Pangos\pangoke01,PG,29,CLE,24,166,93%,7%,,,,-12.0,-17.3,3,3,5,1,0,1,70,0,1
427,Jabari Parker\parkeja01,PF,26,BOS,12,112,,,,28%,72%,-1.2,-6.4,5,2,10,1,3,0,13,1,2
428,Eric Paschall\pascher01,PF,25,UTA,42,556,,,3%,80%,17%,1.6,-6.4,7,11,16,7,32,2,63,7,15
429,Chris Paul\paulch01,PG,36,PHO,56,1861,100%,,,,,10.5,5.8,95,26,42,5,31,8,1366,7,12
430,Cameron Payne\payneca01,PG,27,PHO,40,815,74%,26%,,,,5.3,-4.8,38,21,34,7,29,17,355,8,23
431,Elfrid Payton\paytoel01,PG,27,PHO,36,428,49%,48%,3%,,,1.8,-8.2,21,6,10,2,12,1,183,4,22
432,Gary Payton II\paytoga02,PG,29,GSW,54,892,37%,63%,,,,9.4,2.6,17,3,24,5,22,3,106,6,8
433,Norvel Pelle\pelleno01,C,28,UTA,3,19,,,,5%,95%,-56.0,-63.1,1,0,0,0,0,0,0,0,0
434,Reggie Perry\perryre01,PF,21,TOT,3,51,,,,,100%,-14.7,-10.8,1,0,4,0,1,0,5,0,1
434,Reggie Perry\perryre01,PF,21,POR,2,41,,,,,100%,-13.7,-9.6,1,0,2,0,1,0,5,0,1
434,Reggie Perry\perryre01,PF,21,IND,1,10,,,,,100%,-19.0,-16.0,0,0,2,0,0,0,0,0,0
435,Jamorko Pickett\pickeja01,PF,24,DET,6,47,,,,75%,26%,-27.0,-16.7,0,3,2,0,0,0,2,0,0
436,Theo Pinson\pinsoth01,SF,26,DAL,16,120,,5%,42%,54%,,-16.8,-21.0,2,0,4,0,2,0,30,0,0
437,Mason Plumlee\plumlma01,C,31,CHO,49,1249,,,,,100%,0.0,1.3,34,15,80,12,53,4,364,10,23
438,Jakob Poeltl\poeltja01,C,26,SAS,47,1352,,,,,100%,4.7,8.6,31,13,92,21,65,9,306,16,28
439,Aleksej Pokusevski\pokusal01,PF,20,OKC,40,646,,,1%,66%,33%,-6.8,0.5,23,16,23,7,6,3,113,0,13
440,Yves Pons\ponsyv01,SF,22,MEM,7,22,,18%,78%,4%,,-2.7,-7.8,0,0,2,0,1,0,0,0,1
441,Jordan Poole\poolejo01,SG,22,GSW,51,1481,23%,71%,6%,,,7.8,0.4,61,29,50,13,65,11,420,18,44
442,Kevin Porter Jr.\porteke02,PG,21,HOU,38,1143,98%,2%,,,,-7.5,3.6,91,34,37,7,49,12,573,10,25
443,Michael Porter Jr.\portemi01,SF,23,DEN,9,265,,,91%,9%,,9.6,8.4,5,2,6,4,5,0,38,3,4
444,Otto Porter Jr.\porteot01,PF,28,GSW,46,996,,,,65%,35%,10.6,4.6,11,4,40,3,14,3,190,3,4
445,Bobby Portis\portibo01,C,26,MIL,48,1380,,,,2%,98%,7.4,7.8,15,21,56,18,34,3,156,7,29
446,Kristaps Porziņģis\porzikr01,PF,26,DAL,34,1002,,,,39%,61%,2.0,-1.9,19,19,35,11,66,1,164,10,18
447,Micah Potter\pottemi01,C,23,DET,3,31,,,,,100%,-56.2,-46.2,0,0,1,1,2,1,0,2,0
448,Dwight Powell\poweldw01,C,30,DAL,57,1164,,,,,100%,2.5,-1.2,11,10,72,20,58,10,148,20,17
449,Myles Powell\powelmy01,PG,24,PHI,11,52,100%,,,,,-14.6,-17.5,1,1,3,0,0,1,8,0,1
450,Norman Powell\powelno01,SF-SG,28,TOT,43,1413,2%,21%,70%,7%,,-8.0,-6.9,30,28,46,4,103,6,228,20,30
